flight_id,flight_record_count,flight_id_conflict
6F001,1,False
6F002,1,False
6F003,1,False
6F004,1,False
6F005,1,False
6F006,1,False
6F007,1,False
6F008,1,False
6F009,1,False
6F010,1,False
6F011,1,False
6F012,1,False
6F013,1,False
6F014,1,False
6F015,1,False
6F016,1,False
6F017,1,False
6F018,1,False
6F019,1,False
6F020,1,False
6F021,1,False
6F022,1,False
6F023,1,False
6F024,1,False
6F025,1,False
6F026,1,False
6F027,1,False
6F028,1,False
6F029,1,False
6F030,1,False
6F031,1,False
6F032,1,False
6F033,1,False
6F034,1,False
6F035,1,False
6F036,1,False
6F037,1,False
6F038,1,False
6F039,1,False
6F040,1,False
6F041,1,False
6F042,1,False
6F043,1,False
6F044,1,False
6F045,1,False
6F046,1,False
6F047,1,False
6F048,1,False
6F049,1,False
6F050,1,False
6F051,1,False
6F052,1,False
6F053,1,False
6F054,1,False
6F055,1,False
6F056,1,False
6F057,1,False
6F058,1,False
6F059,1,False
6F060,1,False
6F061,1,False
6F062,1,False
6F063,1,False
6F064,1,False
6F065,1,False
6F066,1,False
6F067,1,False
6F068,1,False
6F069,1,False
6F070,1,False
6F071,1,False
6F072,1,False
6F073,1,False
6F074,1,False
6F075,1,False
6F076,1,False
6F077,1,False
6F078,1,False
6F079,1,False
6F080,1,False
6F081,1,False
6F082,1,False
6F083,1,False
6F084,1,False
6F085,1,False
6F086,1,False
6F087,1,False
6F088,1,False
6F089,1,False
6F090,1,False
6F091,1,False
6F092,1,False
6F093,1,False
6F094,1,False
6F095,1,False
6F096,1,False
6F097,1,False
6F098,1,False
6F099,1,False
6F100,1,False
6F101,1,False
6F102,1,False
6F103,1,False
6F104,1,False
6F105,1,False
6F106,1,False
6F107,1,False
6F108,1,False
6F109,1,False
6F110,1,False
6F111,1,False
6F112,1,False
6F113,1,False
6F114,1,False
6F115,1,False
6F116,1,False
6F117,1,False
6F118,1,False
6F119,1,False
6F120,1,False
6F121,1,False
6F122,1,False
6F123,1,False
6F124,1,False
6F125,1,False
6F126,1,False
6F127,1,False
6F128,1,False
6F129,1,False
6F130,1,False
6F131,1,False
6F132,1,False
